channel,text,media,method,scheduled_at
YOUR_CHANNEL_ID,"Dev Log #1: I'm building a web browser for a G3 iMac from 1999 running Mac OS 9. Not as a joke. Real HTTPS, real CSS, real JavaScript. It loads actual websites from 1999 hardware. That's the whole premise. It works. https://macsurf.org",false,schedule,2026-06-17T08:30:00-04:00
YOUR_CHANNEL_ID,"Dev Log #2: The compiler is CodeWarrior 8. It only understands C89 — no `inline`, no `//` comments, no 64-bit math that actually works. Building a modern browser in a 1989 language spec. You stop fighting the constraints and start building around them. https://github.com/mplsllc/macsurf",false,schedule,2026-06-17T15:30:00-04:00
YOUR_CHANNEL_ID,"Dev Log #3: OS 9 has no preemptive threading. The whole OS runs cooperative — one thing runs at a time, you yield by hand. No background fetch threads. Every network request has to give back control manually. You think differently about code. https://github.com/mplsllc/macsurf",false,schedule,2026-06-18T09:00:00-04:00
YOUR_CHANNEL_ID,"Dev Log #4: We shipped native TLS 1.3 on Classic Mac OS. First time ever. X25519 key exchange, ChaCha20-Poly1305, the full Mozilla CA bundle baked in. On a G3 iMac. No proxy, no cheat — the Mac is the real client. https://macsurf.org",false,schedule,2026-06-18T16:00:00-04:00
YOUR_CHANNEL_ID,"Dev Log #5: Porting libcss to CodeWarrior 8 was 303 .c files. Every inline had to go. Every // comment. Every C99 designated initializer. One file had 47 of them. You count by hand, fix one by one, and eventually the cascade parses. https://github.com/mplsllc/macsurf",false,schedule,2026-06-19T08:45:00-04:00
YOUR_CHANNEL_ID,"OS 9 History: Mac OS 9 shipped in October 1999. The web that year was tables, frames, and Netscape 4. The G3 iMac was the hot consumer machine. Nobody was thinking about what would happen to these computers 25 years later.",false,schedule,2026-06-19T16:30:00-04:00
YOUR_CHANNEL_ID,Dev Log #6: CodeWarrior 8 has a compiler bug. `(long long)a * constant` silently writes the wrong value to the high word. It compiles. It links. CSS layout breaks in ways that look like logic errors. You find it by probing the math at the machine level. https://github.com/mplsllc/macsurf,false,schedule,2026-06-20T09:15:00-04:00
YOUR_CHANNEL_ID,Dev Log #7: Every Carbon app on OS 9 needs a `'carb'` resource in its resource fork or it crashes inside OTClientLib at a fixed address. Not a useful error. Just a crash. The resource is a two-byte marker that tells CFM the binary is Carbon. https://github.com/mplsllc/macsurf,false,schedule,2026-06-20T17:00:00-04:00
YOUR_CHANNEL_ID,"Dev Log #8: QuickDraw `CopyBits` colorizes the image toward the port's current foreground color. After drawing blue link text, every image blit was blue-tinted. Not obviously — just faded and wrong. It looked like a decoder bug. It was two lines of fix. https://github.com/mplsllc/macsurf",false,schedule,2026-06-21T08:30:00-04:00
YOUR_CHANNEL_ID,Dev Log #9: CSS custom properties (`var()`) work natively on the G3. The lexer was splitting `--foo` into two tokens because the CSS 2.1 grammar only had one leading dash. One branch added to the lexer state machine. 219 `var()` references start resolving. https://github.com/mplsllc/macsurf,false,schedule,2026-06-21T15:45:00-04:00
YOUR_CHANNEL_ID,"Dev Log #10: Duktape 2.7.0 runs on the G3. Full ES5 — closures, prototypes, regex, JSON, promises, recursion. On a PowerPC chip with 64MB of RAM. It compiled on CodeWarrior 8 with zero patches to the engine source. Only config changes. https://macsurf.org",false,schedule,2026-06-22T09:00:00-04:00
YOUR_CHANNEL_ID,"OS 9 History: Internet Explorer 5 for Mac was genuinely good. Shipped in 2000, supported real CSS, had a working JS engine, passed standards tests IE for Windows couldn't touch. Microsoft killed it in 2003 and never replaced it. Classic Mac users had nothing.",false,schedule,2026-06-22T16:15:00-04:00
YOUR_CHANNEL_ID,"Dev Log #11: Modern sites use ES6. Duktape speaks ES5. So I wrote a transpiler in C89 that rewrites ES6 to ES5 on the fly when Duktape throws a SyntaxError. Runs on the Mac itself. No proxy, no server-side step. The Mac does the work. https://github.com/mplsllc/macsurf",false,schedule,2026-06-23T08:45:00-04:00
YOUR_CHANNEL_ID,"Dev Log #12: ES6 `for...of` loops don't exist in ES5. The transpiler catches them and converts to indexed for loops — handling nested loops, multiple iterators, break/continue. The edge cases are where the real work is. It runs in C89. https://github.com/mplsllc/macsurf",false,schedule,2026-06-23T16:45:00-04:00
YOUR_CHANNEL_ID,Dev Log #13: ES6 arrow functions: `(x) => x + 1`. The transpiler rewrites them as `function(x) { return x + 1; }` with correct `this` binding via a closure. Handles nested arrows. Works in a single pass before Duktape sees the source. https://github.com/mplsllc/macsurf,false,schedule,2026-06-24T08:30:00-04:00
YOUR_CHANNEL_ID,"Dev Log #14: Template literals: `hello ${name}` converted to string concatenation. Sounds simple. Nested expressions, escaped backticks, multi-line strings — those are the failure modes. Handled in a single-pass C89 scanner. On a G3. https://github.com/mplsllc/macsurf",false,schedule,2026-06-24T15:30:00-04:00
YOUR_CHANNEL_ID,"Dev Log #15: Facebook serves a 416KB JavaScript SPA if you show up with a modern browser UA. We spoof an IE5 Mac UA. Facebook redirects to mbasic.facebook.com — pure HTML, no JS, ~6KB per page. It renders on the G3. https://macsurf.org",false,schedule,2026-06-25T09:00:00-04:00
YOUR_CHANNEL_ID,"OS 9 History: At WWDC 2002, Steve Jobs walked out to a funeral dirge and showed a tombstone on screen that said ""Mac OS 9."" He declared it dead. No more development. The crowd laughed. The people who still depended on OS 9 hardware did not.",false,schedule,2026-06-25T16:00:00-04:00
YOUR_CHANNEL_ID,"Dev Log #16: NetSurf's cookie jar existed in the codebase but was only wired to the curl fetcher, which we don't build. Our fetchers sent no Cookie header and stored no Set-Cookie. Login was just broken. Three lines of code fixed it. https://github.com/mplsllc/macsurf",false,schedule,2026-06-26T08:45:00-04:00
YOUR_CHANNEL_ID,"Dev Log #17: First real non-Facebook login: 68kmla.org, a vintage Mac forum running phpBB. Typed the credentials, hit submit, got the session cookie, stayed logged in across pages. The whole auth stack — form POST, cookies, redirect — worked. https://macsurf.org",false,schedule,2026-06-26T16:30:00-04:00
YOUR_CHANNEL_ID,"Dev Log #18: Facebook's full site was returning 400. Spent a while suspecting TLS issues, HTTP/2 requirements. The actual problem: we weren't sending Sec-Fetch-Dest, Sec-Fetch-Mode, Sec-Fetch-Site. Four headers. That was it. https://github.com/mplsllc/macsurf",false,schedule,2026-06-27T09:15:00-04:00
YOUR_CHANNEL_ID,"Dev Log #19: The scroll wheel crashes MacSurf on real G3 hardware. kEventMouseWheelMoved is marked ""CarbonLib: not available"" in Apple's own header. We installed a handler anyway. CarbonLib's dispatcher walked uninitialized state and died. https://github.com/mplsllc/macsurf",false,schedule,2026-06-27T17:00:00-04:00
YOUR_CHANNEL_ID,Dev Log #20: Scroll bar live tracking with proc 386 crashed on real G3 hardware but not in emulation. SheepShaver's CarbonLib tolerates the same call that real hardware rejects. Switched to proc 384. Crash gone. https://github.com/mplsllc/macsurf,false,schedule,2026-06-28T08:30:00-04:00
YOUR_CHANNEL_ID,"OS 9 History: Classilla was the last real browser for Classic Mac OS — a port of Mozilla 1.3, maintained by one person (Cameron Kaiser) for years after Apple walked away. Kept alive by sheer stubbornness. MacSurf exists in that same tradition. https://macsurf.org",false,schedule,2026-06-28T15:45:00-04:00
YOUR_CHANNEL_ID,"Dev Log #21: Overriding NewControlActionUPP to a raw function pointer works on macOS Mach-O. On CarbonLib it goes through MixedMode, reads garbage from the function entry bytes, executes `bl 0`. PC lands at 0x00000008. https://github.com/mplsllc/macsurf",false,schedule,2026-06-29T09:00:00-04:00
YOUR_CHANNEL_ID,Dev Log #22: We had a hard crash at 0x2710 after page loads. Assumed use-after-free. It was heap and stack exhaustion — two full box trees in RAM plus deep JS-DOM recursion on a 10MB page. Bumped the Carbon partition. Crash gone. https://github.com/mplsllc/macsurf,false,schedule,2026-06-29T16:15:00-04:00
YOUR_CHANNEL_ID,"Dev Log #23: Every hover event was triggering a full CSS recascade of the entire page. On first real-world use — mbasic Facebook, 160 boxes — this leaked styles on every hover until the heap was gone. The Mac crashed in garbage memory. https://github.com/mplsllc/macsurf",false,schedule,2026-06-30T08:45:00-04:00
YOUR_CHANNEL_ID,"Dev Log #24: The ICO favicon handler called content_set_done() AND returned true. NetSurf fires DONE on both. On a machine with no memory protection, that's a whole-machine crash. The bug lived there silently for months. https://github.com/mplsllc/macsurf",false,schedule,2026-06-30T16:45:00-04:00
YOUR_CHANNEL_ID,Dev Log #25: XenForo forums use a 12-column CSS Grid. Our grid engine had a hard cap of 16 tracks — fine for most sites. But some column placements were starting at index 13 and collapsing the layout. Upgraded the cap to 32. Sites load. https://macsurf.org,false,schedule,2026-07-01T08:30:00-04:00
YOUR_CHANNEL_ID,"OS 9 History: The G3 iMac shipped in 1998 — translucent plastic, five colors, no floppy drive. It was a cultural moment. Apple was nearly bankrupt, Steve Jobs had just returned, and this machine turned it around. It was never supposed to run anything from 2026.",false,schedule,2026-07-01T15:30:00-04:00
YOUR_CHANNEL_ID,"Dev Log #26: The debug log writes to ""MacSurf Debug.log"" on the Desktop and flushes after every line with FlushVol. When the Mac crashes — and it will — the last line in the log is the last thing that ran. It's saved dozens of hours. https://github.com/mplsllc/macsurf",false,schedule,2026-07-02T09:00:00-04:00
YOUR_CHANNEL_ID,"Dev Log #27: The render engine clips boxes with obviously garbage coordinates. Original threshold: +/-10,000 pixels. When the test page grew past 10,000 pixels tall, it clipped the valid root box to zero. Page rendered blank. Raised to +/-200,000. https://github.com/mplsllc/macsurf",false,schedule,2026-07-02T16:00:00-04:00
YOUR_CHANNEL_ID,"Dev Log #28: Font rendering on OS 9.1 looks rougher than on 9.2.2 — same code, same settings. Apple improved QuickDraw's AA path in 9.2. SetAntiAliasedTextEnabled just doesn't respond as well on 9.1 above 8pt. OS limit, not a bug. https://github.com/mplsllc/macsurf",false,schedule,2026-07-03T08:45:00-04:00
YOUR_CHANNEL_ID,"Dev Log #29: #include <Carbon.h> on CW8 chains into InternetConfig.h, which uses AliasRecord before Aliases.h loads. Including Aliases.h first re-enters Carbon.h. Fix: predefine __INTERNETCONFIG__ before the include. Carbon.h skips the file. https://github.com/mplsllc/macsurf",false,schedule,2026-07-03T16:30:00-04:00
YOUR_CHANNEL_ID,"Dev Log #30: SheepShaver runs OS 9.0.4 and MacSurf launches fine — Carbon init, UI, rendering. But its CarbonLib is more forgiving than real hardware, and it can't do real network requests. Green in emulation doesn't mean green on a G3. https://macsurf.org",false,schedule,2026-07-04T09:15:00-04:00
YOUR_CHANNEL_ID,OS 9 History: Mac OS 9's cooperative multitasking was already ancient when it shipped in 1999. Windows NT had preemptive threading. BeOS had it. Linux had it. Apple shipped OS 9 knowing OS X was the real future. OS 9 was a bridge nobody wanted to stay on.,false,schedule,2026-07-04T17:00:00-04:00
YOUR_CHANNEL_ID,Dev Log #31: BearSSL is a TLS library designed for embedded systems. Porting it to PPC Mac OS 9 meant verifying every 32-bit multiply was correct on CW8. Then building the full TLS 1.3 handshake around it. It works. https://github.com/mplsllc/macsurf,false,schedule,2026-07-05T08:30:00-04:00
YOUR_CHANNEL_ID,Dev Log #32: X25519 Elliptic Curve Diffie-Hellman runs on a G3. No hardware acceleration. Pure C arithmetic on a PPC chip from 1998. Handshake completes. The forward secrecy is real. The math is just the math. https://github.com/mplsllc/macsurf,false,schedule,2026-07-05T15:45:00-04:00
